,16029,14333,13223,13225,11508,11552,11187,11064,11150
skeleton,0,0,0,0,0,0.0047817727472,0,0,0
dance,0,0,0,0,0,0.0143453182416,0,0,0
dynamic,0,0,0,0.00310342454426,0.00323121261373,0,0.00359092653477,0,0
transcodes,0,0.0258497009098,0,0,0,0,0,0,0
shaﬁei,0,0.00646242522746,0,0,0,0,0,0,0
core2d,0,0,0,0,0,0,0,0,0.0191063006725
follow,0,0,0.00416641938165,0.00920574677876,0,0,0,0,0
consider,0,0,0,0,0,0,0,0.00681897282622,0
compact,0,0,0,0,0,0,0,0,0.0191063006725
content,0,0.00357763330684,0.00393110215617,0.00324524804041,0.00572421329094,0,0.000935508805479,0.00363520441752,0
technique,0,0,0,0,0,0,0,0.00606130917886,0
environment,0,0,0,0.00354067183799,0,0,0.0101216513915,0,0
finally,0,0,0.00416641938165,0,0,0,0,0,0.00871928925667
program,0,0,0,0,0,0,0,0,0.00636876689083
present,0,0.00238508887122,0.000935976703851,0,0.00143105332273,0.00110300627886,0.00140326320822,0.00167778665424,0
Nov,0,0,0,0.00724132393661,0,0,0,0,0
include,0,0,0,0.00114538166132,0.00166956220986,0.000882405023086,0.0010134678726,0.00111852443616,0.00470104473169
presentation,0,0,0.00355045522654,0,0.00258497009098,0,0,0.00340948641311,0
webvtt,0,0,0.0223171471382,0,0,0,0,0,0
activation,0,0,0,0,0,0,0,0,0.0127375337817
level,0.0208899638441,0,0,0.00566507494078,0,0,0,0,0
issue,0,0,0,0.00724132393661,0,0,0,0,0
list,0.00569726286658,0,0,0.00495694057318,0,0,0,0,0
solution,0,0.00884751409868,0.00347201615138,0,0,0,0,0,0
try,0,0,0,0,0.00516994018197,0,0,0,0
item,0.0110970938249,0,0,0,0,0,0,0,0
vector,0.00277427345623,0,0,0,0,0.002988607967,0,0,0.0159219172271
xlineproperties,0,0,0,0,0,0,0,0,0.00636876689083
versioning,0.00554854691247,0,0,0,0,0,0,0,0
second,0,0.00646242522746,0.00456487100555,0.0036206619683,0,0,0,0,0
video,0.000951948591973,0.00443496049907,0.00707764548714,0.00165649811485,0.00177398419963,0.00396524397179,0,0.00259980443049,0
value,0,0,0,0,0,0.00597721593399,0,0,0
plugins,0,0,0,0,0.00646242522746,0,0,0,0
rate,0,0.00884751409868,0,0,0,0,0,0.00466782640379,0
section,0,0,0.00131036738539,0.000954484717769,0.00095403554849,0.00220601255772,0.00218285387945,0.00097870888164,0
multimedia,0,0.00715526661367,0,0.0053451144195,0.0138335154531,0,0.0152799771562,0,0
access,0,0,0,0.0127464186167,0,0,0,0.00518647378199,0
version,0.00277427345623,0,0.00253603944753,0.00517237424043,0,0,0,0,0
ftyp,0.0110970938249,0,0,0,0,0,0,0,0
conduct,0,0.0129248504549,0,0,0,0,0,0,0
